causas_2,Edad,Total,Hombres,Mujeres,porc_total,porc_hombres,porc_mujeres
Otras causas,50-54,1754,1231,523,16.8832418904611,17.8173397018382,15.0287356321839
Otras causas,55-59,2452,1683,769,15.4729601817379,15.9571442116242,14.5094339622642
Otras causas,60-64,3182,2105,1077,14.4853644102517,14.1655450874832,15.1540734487125
Otras causas,65-69,4243,2731,1512,15.4089192330041,14.5886752136752,17.1506352087114
Otras causas,70-74,6848,4140,2708,17.6422093981863,16.2085976039464,20.400783486515
Otras causas,75-79,10947,5793,5154,20.9011933174224,18.0001864338315,25.5249603803487
Otras causas,80-84,18382,8160,10222,24.8254439867648,20.810486853179,29.3448929207097
Otras causas,85-89,30057,11417,18640,27.9875970724622,23.5130570887223,31.6802066691594
Otras causas,90-94,26858,8208,18650,30.8061112130666,25.9697525786243,33.5564431969484
Otras causas,95+,13881,3032,10849,32.8575486436586,27.1247092503131,34.9201750997811
Otras causas,< 1 año,817,460,357,91.7977528089888,92.741935483871,90.6091370558376
Otras causas,Todas las edades,121885,50542,71343,24.6842697903503,20.2440079466803,29.2255194337026
